,Area,PLC prog unit,Device Name,Device,PLC Tag,PLC dep gauge1,PLC dep gauge2,PLC dep pump1,PLC dep valve1,Volume,sim dep vol1,sim dep vol2
167,FEE(Mono SP1K1),,SP1K1-MONO-PIP-2,,PIP_Gamma,SP1K1-MONO-GCC-1,,,,SPI1K1-VOL,,
168,FEE(Mono SP1K1),,SP1K1-MONO-PGT-1,,,,,,,SPI1K1-VOL,,
169,FEE(Mono SP1K1),,SP1K1-MONO-PGT-2,,,,,,,SPI1K1-VOL,,
170,FEE,,SP1K1-MONO-VGC-2,VV2K1,VGC,,,,,SPI1K1-VOL,,
171,FEE,,IM1K2-PPM-VGC-1,VV1K3,VGC,,,,,SPI1K1-VOL,,
172,FEE,,TV3K0-VGC-1,VV09S,VGC,MR2K3-TXI-GCC-1,TV3K0-GCC-1,,,SPI1K1-VOL,,
173,FEE,,TV3K0-GCC-1,CG7S,MKS500_EP,TV3K0-GPI-1,,,,SPI1K1-VOL,,
174,FEE,,TV3K0-GPI-1,PG7S,MKS275,,,,,SPI1K1-VOL,,
175,FEE,,TV3K0-PIP-1,IP3S,PIP_Gamma,TV3K0-GCC-1,,,,SPI1K1-VOL,,
176,FEE,,MR1K4-SOMS-VGC-1,VV10S,VGC,TV3K0-GCC-1,MR1K4-SOMS-GCC-1,,,MR1K4-SOMS-VGC-1,SPI1K1-VOL,M1K4-VOL
177,FEE(Mirror-M1K4),,MR1K4-SOMS-GCC-1,GCC-M1K4,MKS500_EP,MR1K4-SOMS-GPI-1,,,,M1K4-VOL,,
178,FEE(Mirror-M1K4),,MR1K4-SOMS-GPI-1,GPR-M1K4,MKS275,,,,,M1K4-VOL,,
179,FEE(Mirror-M1K4),,MR1K4-SOMS-PIP-1,IP-5S,PIP_Gamma,MR1K4-SOMS-GCC-1,,,,M1K4-VOL,,
180,FEE(Mirror-M1K4),,MR1K4-SOMS-PGT-1,,,,,,,M1K4-VOL,,
181,FEE(Mirror-M1K4),,MR1K4-SOMS-PGT-2,,,,,,,M1K4-VOL,,
